"Dissemination Identifier","Original Dissemination Identifier","Action type","Event type","Event timestamp","Amendment indicator","Asset Class","Product name","Cleared","Mandatory clearing indicator","Execution Timestamp","Effective Date","Expiration Date","Maturity date of the underlier","Non-standardized term indicator","Platform identifier","Prime brokerage transaction indicator","Block trade election indicator","Large notional off-facility swap election indicator","Notional amount-Leg 1","Notional amount-Leg 2","Notional currency-Leg 1","Notional currency-Leg 2","Notional quantity-Leg 1","Notional quantity-Leg 2","Total notional quantity-Leg 1","Total notional quantity-Leg 2","Quantity frequency multiplier-Leg 1","Quantity frequency multiplier-Leg 2","Quantity unit of measure-Leg 1","Quantity unit of measure-Leg 2","Quantity frequency-Leg 1","Quantity frequency-Leg 2","Notional amount in effect on associated effective date-Leg 1","Notional amount in effect on associated effective date-Leg 2","Effective date of the notional amount-Leg 1","Effective date of the notional amount-Leg 2","End date of the notional amount-Leg 1","End date of the notional amount-Leg 2","Call amount","Call currency","Put amount","Put currency","Exchange rate","Exchange rate basis","First exercise date","Fixed rate-Leg 1","Fixed rate-Leg 2","Option Premium Amount","Option Premium Currency","Price","Price unit of measure","Spread-Leg 1","Spread-Leg 2","Spread currency-Leg 1","Spread currency-Leg 2","Strike Price","Strike price currency/currency pair","Post-priced swap indicator","Price currency","Price notation","Spread notation-Leg 1","Spread notation-Leg 2","Strike price notation","Fixed rate day count convention-leg 1","Fixed rate day count convention-leg 2","Floating rate day count convention-leg 1","Floating rate day count convention-leg 2","Floating rate reset frequency period-leg 1","Floating rate reset frequency period-leg 2","Floating rate reset frequency period multiplier-leg 1","Floating rate reset frequency period multiplier-leg 2","Other payment amount","Fixed rate payment frequency period-Leg 1","Floating rate payment frequency period-Leg 1","Fixed rate payment frequency period-Leg 2","Floating rate payment frequency period-Leg 2","Fixed rate payment frequency period multiplier-Leg 1","Floating rate payment frequency period multiplier-Leg 1","Fixed rate payment frequency period multiplier-Leg 2","Floating rate payment frequency period multiplier-Leg 2","Other payment type","Other payment currency","Settlement currency-Leg 1","Settlement currency-Leg 2","Settlement location","Collateralisation category","Custom basket indicator","Index factor","Underlier ID-Leg 1","Underlier ID-Leg 2","Underlier ID source-Leg 1","Underlying Asset Name","Underlying asset subtype or underlying contract subtype-Leg 1","Underlying asset subtype or underlying contract subtype-Leg 2","Embedded Option type","Option Type","Option Style","Package indicator","Package transaction price","Package transaction price currency","Package transaction price notation","Package transaction spread","Package transaction spread currency","Package transaction spread notation","Physical delivery location-Leg 1","Delivery Type","Unique Product Identifier","UPI FISN","UPI Underlier Name"
"4597120202000000101","","NEWT","TRAD","2026-08-05T15:40:31Z","","CO","Commodity:Energy:NatGas:Swap:Cash","N","FALSE","2026-08-05T15:38:00Z","2029-06-01","2029-10-01","2029-10-09","FALSE","BILT","FALSE","FALSE","TRUE","6,000,000+","","USD","","13,000+","","2,000,000+","","1","","MBTU","","DAIL","","","","","","","","","","","","","","","","","","","2.95","MBTU","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Natural Gas","","","","Natural Gas, Western","","","","","FALSE","","","","","","","","Cash","","",""
"4617643533000000101","4517175641000000101","TERM","ETRM","2026-08-06T10:15:33Z","","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","FALSE","2026-07-31T18:07:07Z","2026-07-31","2026-09-15","","TRUE","XOFF","FALSE","FALSE","FALSE","5","","BRL","","","","9,000","","1","","BAGG","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3303","BRL","false","","","","","1","","","","","","","","","","","","","","","","","","","","BRL","BRL","","","false","","Agricultural","","","","CORN BMF","","","","","FALSE","","","","","","","","","","",""
"4619505634000000101","4618590133000000301","CORR","","2026-08-06T10:47:59Z","","CO","Commodity:Metals:Precious:SpotFwd:Physical","N","FALSE","2026-08-06T10:29:02Z","2026-08-06","2026-09-21","","FALSE","BILT","FALSE","FALSE","FALSE","19,000,000","","USD","","300,000","","300,000","","","","OZTR","","ADHO","","","","","","","","","","","","","","","","","","","62.1323","OZTR","","","","","","","false","USD","1","","","","A004","","","","EXPI","","1","","","DAIL","","","","1","","","","","","","","","","false","","","","","","","","","","","TRUE","","","","0.1973","","3","","Physical","","",""
"4626199130000000101","","NEWT","TRAD","2026-08-06T19:54:46Z","","CO","Commodity:Energy:NatGas:Swap:Cash","N","FALSE","2026-08-06T19:54:46Z","2027-12-29","2027-12-29","","FALSE","XOFF","FALSE","FALSE","FALSE","100,000","100,000","USD","USD","23,000","21,941","23,000","21,941","1","1","MBTU","MBTU","MNTH","MNTH","","","","","","","","","","","","","","","","","","4.5577","MBTU","","","","","","","false","USD","1","","","","A020","A020","A020","A020","","","","","","MNTH","MNTH","MNTH","MNTH","1","1","1","1","","","USD","USD","","","false","","Natural Gas","","","","NATURAL GAS-NYMEX","NATURAL GAS-NYMEX","","","","FALSE","","","","","","","","CASH","","",""
"4626199174000004501","","NEWT","TRAD","2026-08-06T19:54:46Z","","CO","Commodity:Energy:NatGas:Swap:Cash","N","FALSE","2026-08-06T19:54:46Z","2029-08-29","2029-08-29","","FALSE","XOFF","FALSE","FALSE","FALSE","63,000","63,000","USD","USD","18,000","18,082","18,000","18,082","1","1","MBTU","MBTU","MNTH","MNTH","","","","","","","","","","","","","","","","","","3.4842","MBTU","","","","","","","false","USD","1","","","","A020","A020","A020","A020","","","","","","MNTH","MNTH","MNTH","MNTH","1","1","1","1","","","USD","USD","","","false","","Natural Gas","","","","NATURAL GAS-NYMEX","NATURAL GAS-NYMEX","","","","FALSE","","","","","","","","CASH","","",""
"4626199145000001601","","NEWT","TRAD","2026-08-06T19:54:46Z","","CO","Commodity:Energy:NatGas:Swap:Cash","N","FALSE","2026-08-06T19:54:46Z","2029-03-27","2029-03-27","","FALSE","XOFF","FALSE","FALSE","FALSE","59,000","59,000","USD","USD","19,000","19,065","19,000","19,065","1","1","MBTU","MBTU","MNTH","MNTH","","","","","","","","","","","","","","","","","","3.0947","MBTU","","","","","","","false","USD","1","","","","A020","A020","A020","A020","","","","","","MNTH","MNTH","MNTH","MNTH","1","1","1","1","","","USD","USD","","","false","","Natural Gas","","","","NATURAL GAS-NYMEX","NATURAL GAS-NYMEX","","","","FALSE","","","","","","","","CASH","","",""
"4626199158000002901","","NEWT","TRAD","2026-08-06T19:54:46Z","","CO","Commodity:Energy:NatGas:Swap:Cash","N","FALSE","2026-08-06T19:54:46Z","2028-04-26","2028-04-26","","FALSE","XOFF","FALSE","FALSE","FALSE","67,000","67,000","USD","USD","22,000","21,570","22,000","21,570","1","1","MBTU","MBTU","MNTH","MNTH","","","","","","","","","","","","","","","","","","3.1062","MBTU","","","","","","","false","USD","1","","","","A020","A020","A020","A020","","","","","","MNTH","MNTH","MNTH","MNTH","1","1","1","1","","","USD","USD","","","false","","Natural Gas","","","","NATURAL GAS-NYMEX","NATURAL GAS-NYMEX","","","","FALSE","","","","","","","","CASH","","",""
"4626199142000001301","","NEWT","TRAD","2026-08-06T19:54:46Z","","CO","Commodity:Energy:NatGas:Swap:Cash","N","FALSE","2026-08-06T19:54:46Z","2028-12-27","2028-12-27","","FALSE","XOFF","FALSE","FALSE","FALSE","93,000","93,000","USD","USD","20,000","19,700","20,000","19,700","1","1","MBTU","MBTU","MNTH","MNTH","","","","","","","","","","","","","","","","","","4.7207","MBTU","","","","","","","false","USD","1","","","","A020","A020","A020","A020","","","","","","MNTH","MNTH","MNTH","MNTH","1","1","1","1","","","USD","USD","","","false","","Natural Gas","","","","NATURAL GAS-NYMEX","NATURAL GAS-NYMEX","","","","FALSE","","","","","","","","CASH","","",""
"4626284803000000101","","NEWT","TRAD","2026-08-06T20:27:00Z","","CO","Commodity:Metals:Precious:SpotFwd:Physical","N","FALSE","2026-08-06T20:27:00Z","2026-08-06","2026-08-10","","FALSE","BILT","TRUE","FALSE","FALSE","310,000","","USD","","","","5,000","","","","OZTR","","","","","","","","","","","","","","","","","","","","","61.519","OZTR","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","Bullion","","","","Silver, Other","","","","","TRUE","","","","0","","3","","Physical","","",""
"4624092707000000201","","NEWT","TRAD","2026-08-06T18:30:09Z","","CO","Commodity:Metals:NonPrecious:Swap:Cash","N","FALSE","2026-08-06T18:30:09Z","2027-10-01","2027-10-31","","FALSE","BILT","FALSE","FALSE","TRUE","300,000","","USD","","300","","300","","1","","TONE","","MNTH","","300000","","2027-10-01","","2027-10-31","","","","","","","","","","","","","1,014","TONE","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Metals","Metals","","","Steel, U.S.","Steel, U.S.","","","","FALSE","","","","","","","","Cash","","",""
