Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"882917509","","NEWT","TRAD","2024-01-25T15:43:58Z","","CR","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","N","false","2024-01-25T15:43:58Z","2024-01-26","2024-02-21","2028-12-20","false","BILT","false","false","false","3,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-02-21","0.01","","839.99916","EUR","","","","","","","0.675","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","9EI01QMC4","","CUSIP","iTraxx Europe Series 40 Version 1","","","","PUT","EUROPEAN","false","","","","","","","","Physical"
"882918463","871273821","CORR","","2024-01-26T04:01:23Z","","CR","Credit:TotalReturnSwap","N","false","2023-10-27T15:18:53Z","2023-10-31","2024-01-31","","false","BILT","false","false","false","25,000,000","177,674,000","USD","CNY","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.004","","","","","","false","","","3","","3","A004","","","","","","","","","DAIL","","","","63","","","","","","USD","USD","","HK","","false","","PPG2FGW92","","Bloomberg","","","","","","","false","","","","","","","","Cash"
"882917234","","NEWT","TRAD","2024-01-25T15:42:32Z","","CR","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","N","false","2024-01-25T15:42:32Z","2024-01-26","2024-02-21","2028-12-20","false","BILT","false","false","false","3,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-02-21","0.01","","2,069.99793","EUR","","","","","","","0.575","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","9EI01QMC4","","CUSIP","iTraxx Europe Series 40 Version 1","","","","CALL","EUROPEAN","false","","","","","","","","Physical"
"882917310","","NEWT","TRAD","2024-01-25T15:42:49Z","","CR","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","N","false","2024-01-25T15:42:49Z","2024-01-26","2024-02-21","2028-12-20","false","BILT","false","false","false","3,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-02-21","0.01","","3,854.99615","EUR","","","","","","","0.6","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","9EI01QMC4","","CUSIP","iTraxx Europe Series 40 Version 1","","","","CALL","EUROPEAN","false","","","","","","","","Physical"
"882917418","","NEWT","TRAD","2024-01-25T15:43:31Z","","CR","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","N","false","2024-01-25T15:43:31Z","2024-01-26","2024-02-21","2028-12-20","false","BILT","false","false","false","3,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-02-21","0.01","","2,939.99706","EUR","","","","","","","0.6","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","9EI01QMC4","","CUSIP","iTraxx Europe Series 40 Version 1","","","","PUT","EUROPEAN","false","","","","","","","","Physical"
"882911698","","NEWT","TRAD","2024-01-26T01:30:08Z","","CR","Credit:Index:iTraxx:iTraxxAsiaExJapan","I","false","2024-01-26T01:30:08Z","2024-01-29","2028-12-20","","","TWSF","false","false","","5,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.00988","","","","","","false","","","3","","","A004","","","","","","","","7874.87502","MNTH","","","","3","","","","UFRO","USD","","","","","","false","1","4ABCAMBK1","","REDID","","","","","","","false","","","","","","","",""
"882997090","","NEWT","TRAD","2024-01-26T06:52:36Z","","CR","Credit:Index:iTraxx:iTraxxAsiaExJapan","I","false","2024-01-26T06:52:36Z","2024-01-29","2028-12-20","","","TWSF","false","false","","600,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.009965","","","","","","false","","","3","","","A004","","","","","","","","724.20000","MNTH","","","","3","","","","UFRO","USD","","","","","","false","1","4ABCAMBK1","","REDID","","","","","","","false","","","","","","","",""
"882996352","","NEWT","TRAD","2024-01-26T06:52:24Z","","CR","Credit:Swaptions:CDX:CDXSwaption","N","false","2024-01-26T06:51:09Z","2024-01-25","2024-03-20","2028-12-20","true","BILT","false","false","false","3,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-03-20","0.05","","9,504.03168","USD","","","","","","","0.01035","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","0.99","2I65BRAB1","","REDID","CDX.NA.HY.41-V2","","","","PUT","EUROPEAN","false","","","","","","","","Physical"
"882912909","","NEWT","TRAD","2024-01-26T01:34:57Z","","CR","Credit:Index:iTraxx:iTraxxJapan","N","false","2024-01-26T01:34:57Z","2023-09-20","2028-12-20","2028-12-20","false","BILT","false","false","false","1,000,000,000","","JPY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","2I668HCL6","","REDID","","","","","","","false","","","","","","","","Physical"
"882993839","","NEWT","TRAD","2024-01-26T06:50:56Z","","CR","Credit:Swaptions:CDX:CDXSwaption","N","false","2024-01-26T06:50:00Z","2024-01-25","2024-03-20","2028-12-20","true","BILT","false","false","false","3,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-03-20","0.05","","10,395.03465","USD","","","","","","","0.0106","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","0.99","2I65BRAB1","","REDID","CDX.NA.HY.41-V2","","","","CALL","EUROPEAN","false","","","","","","","","Physical"
