Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
"1403297278","","NEWT","TRAD","2025-03-02T23:57:02Z","false","FX","","N","false","2025-03-02T23:57:02Z","2025-03-03","2025-04-07","","FALSE","BILT","false","false","false","1,459,280,000","1,000,000","KRW","USD","","","","","","","","","","","","","","","","","","","","","1,459.28","KRW/USD","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","KRW","","","","false","","","","","","","","","","","false","","","","9.9999999999","","3","","","QZKL3MJ7CZC6","NA/Fwd NDF KRW USD","KRW USD"
"1403297277","","NEWT","TRAD","2025-03-02T23:56:49Z","false","FX","","N","false","2025-03-02T23:56:49Z","2025-03-03","2025-04-07","","FALSE","BILT","false","false","false","1,459,420,000","1,000,000","KRW","USD","","","","","","","","","","","","","","","","","","","","","1,459.42","KRW/USD","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","KRW","","","","false","","","","","","","","","","","false","","","","9.9999999999","","3","","","QZKL3MJ7CZC6","NA/Fwd NDF KRW USD","KRW USD"
"1403297276","","NEWT","TRAD","2025-03-02T23:56:40Z","false","FX","","N","false","2025-03-02T23:56:40Z","2025-03-03","2025-04-07","","FALSE","BILT","false","false","false","1,459,070,000","1,000,000","KRW","USD","","","","","","","","","","","","","","","","","","","","","1,459.07","KRW/USD","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","KRW","","","","false","","","","","","","","","","","false","","","","9.9999999999","","3","","","QZKL3MJ7CZC6","NA/Fwd NDF KRW USD","KRW USD"
"1403297275","","NEWT","TRAD","2025-03-02T23:56:28Z","false","FX","","N","false","2025-03-02T23:56:28Z","2025-03-03","2025-04-07","","FALSE","BILT","false","false","false","1,459,430,000","1,000,000","KRW","USD","","","","","","","","","","","","","","","","","","","","","1,459.43","KRW/USD","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","KRW","","","","false","","","","","","","","","","","false","","","","9.9999999999","","3","","","QZKL3MJ7CZC6","NA/Fwd NDF KRW USD","KRW USD"
"1403296209","","NEWT","TRAD","2025-03-02T23:46:25Z","false","FX","","N","false","2025-03-02T23:46:25Z","2025-03-02","2025-03-07","","FALSE","BILT","false","false","false","70,000,000","10,430,000,000","USD","JPY","","","","","","","","","","","","","","","","","","","70000000","USD","149","USD/JPY","2025-03-07","","","195,300","USD","","","","","","","149","USD/JPY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","false","","","","","","","","","QZZPW7DB2WT2","NA/O Van Call JPY USD","JPY USD"
"1403296163","","NEWT","TRAD","2025-03-02T23:33:30Z","false","FX","","N","false","2025-03-02T23:33:30Z","2025-03-03","2025-03-05","","TRUE","XOFF","false","false","false","450,000,000","2,981,439","JPY","USD","","","","","","","","","","","","","","","","","","","","","150.9339","JPY/USD","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","false","","","","","","","","","QZ3H9BW71BH1","NA/FX Fwd Nstd JPY USD","JPY USD"
"1403295717","","NEWT","TRAD","2025-03-02T22:49:55Z","","FX","","N","false","2025-03-02T22:45:35Z","2025-03-02","2025-03-04","","FALSE","BILT","false","false","true","209,134,400","130,000,000+","AUD","USD","","","","","","","","","","","","","","","","","","","","","0.621608","USD/AUD","","","","","","","","","","","","","","false","","","","","","NARR","","","","","","","","209134400.00000;129999616.11520","","","","","","","","","PEXH;PEXH","AUD;USD","USD","AUD","","","false","","","","","","","","","","","true","9.9999999999","","3","","","","","","QZK455DHG53Q","NA/Swaps AUD USD","AUD USD"
"1403295718","","NEWT","TRAD","2025-03-02T22:49:55Z","","FX","","N","false","2025-03-02T22:45:35Z","2025-03-02","2025-03-03","","FALSE","BILT","false","false","true","209,136,700","130,000,000+","AUD","USD","","","","","","","","","","","","","","","","","","","","","0.6216","USD/AUD","","","","","","","","","","","","","","false","","","","","","NARR","","","","","","","","209136700.00000;129999372.72000","","","","","","","","","PEXH;PEXH","AUD;USD","USD","AUD","","","false","","","","","","","","","","","true","9.9999999999","","3","","","","","","QZK455DHG53Q","NA/Swaps AUD USD","AUD USD"
"1403295679","1397803794","CORR","","2025-03-02T22:07:31Z","","FX","","N","false","2025-02-26T13:50:06Z","2025-02-28","2025-04-02","","FALSE","BILT","false","false","false","680,000","2,824,571,385","USD","COP","","","","","","","","","","","","","","","","","","","","","4,153.79","USD/COP","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","false","","","","","","","","","QZQVD5W65KNZ","NA/Fwd NDF COP USD","COP USD"
"1403287013","","NEWT","TRAD","2025-02-28T11:57:20Z","","FX","","N","false","2025-02-28T11:57:20Z","2025-02-28","2025-04-04","","FALSE","XXXX","false","false","false","73,333,610","77,000,000","EUR","USD","","","","","","","","","","","","","","","","","73333610","EUR","","","1.05","EUR/USD","2025-04-04","","","444,608.61802","USD","","","","","","","1.05","USD/EUR","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","true","-442,586","USD","1","","","","","","QZZB5FDZ539X","NA/O Van Call EUR USD","EUR USD"
"1403287014","","NEWT","TRAD","2025-02-28T11:44:26Z","","FX","","N","false","2025-02-28T11:44:26Z","2025-02-28","2025-04-04","","FALSE","XXXX","false","false","false","88,000,000","84,615,800","USD","EUR","","","","","","","","","","","","","","","","","","","88000000","USD","1.04","EUR/USD","2025-04-04","","","774,130.0446","USD","","","","","","","1.04","USD/EUR","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","true","-777,645","USD","1","","","","","","QZTG5N9T1NQH","NA/O Van Put EUR USD","EUR USD"
"1403287018","","NEWT","TRAD","2025-02-28T10:47:42Z","","FX","","N","false","2025-02-28T10:47:42Z","2025-02-28","2025-03-14","","FALSE","XXXX","false","false","false","35,071,050","37,000,000","EUR","USD","","","","","","","","","","","","","","","","","35071050","EUR","","","1.055","EUR/USD","2025-03-14","","","55,014.55329","USD","","","","","","","1.055","USD/EUR","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","false","","","","","","","","","QZZB5FDZ539X","NA/O Van Call EUR USD","EUR USD"
"1403287022","1402378473","EROR","","2025-02-28T10:47:42Z","","FX","","","","2025-02-28T10:47:42Z","2025-02-28","2025-03-14","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1403287030","","NEWT","TRAD","2025-02-28T21:59:08Z","","FX","","N","false","2025-02-28T21:59:08Z","2025-02-28","2025-03-24","","FALSE","XXXX","false","false","false","41,000,000","6,939,730","BRL","USD","","","","","","","","","","","","","","","","","","","","","5.908","USD/BRL","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","false","","","","","","","","","QZ95QCJX1JRX","NA/Fwd NDF BRL USD","BRL USD"
"1403287035","","NEWT","TRAD","2025-02-28T08:00:55Z","","FX","","N","false","2025-02-28T08:00:55Z","2025-02-28","2025-04-07","","FALSE","BGCD","false","false","false","58,378,000,000","40,000,000","KRW","USD","","","","","","","","","","","","","","","","","","","","","1,459.45","USD/KRW","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","false","","","","","","","","","QZKL3MJ7CZC6","NA/Fwd NDF KRW USD","KRW USD"
"1403287047","","NEWT","TRAD","2025-02-28T10:47:44Z","","FX","","N","false","2025-02-28T10:47:44Z","2025-02-28","2025-03-07","","FALSE","XXXX","false","false","false","51,428,400","54,000,000","EUR","USD","","","","","","","","","","","","","","","","","51428400","EUR","","","1.05","EUR/USD","2025-03-07","","","73,394.49821","USD","","","","","","","1.05","USD/EUR","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","false","","","","","","","","","QZZB5FDZ539X","NA/O Van Call EUR USD","EUR USD"
"1403287055","1403287035","EROR","","2025-02-28T08:00:55Z","","FX","","","","2025-02-28T08:00:55Z","2025-02-28","2025-04-07","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1403287063","","NEWT","TRAD","2025-02-28T03:35:38Z","","FX","","N","false","2025-02-28T03:35:38Z","2025-02-28","2025-04-03","","FALSE","GSEF","false","false","true","2,300,000,000","39,623,200","PHP","USD","","","","","","","","","","","","","","","","","","","","","58.047","USD/PHP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","false","","","","","","","","","QZJD316LH0FH","NA/Fwd NDF PHP USD","PHP USD"
"1403287077","1402378474","EROR","","2025-02-28T10:47:44Z","","FX","","","","2025-02-28T10:47:44Z","2025-02-28","2025-03-07","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1403287120","1403113730","EROR","","2025-02-28T21:59:08Z","","FX","","","","2025-02-28T21:59:08Z","2025-02-28","2025-03-24","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1403279201","","NEWT","TRAD","2025-03-02T19:19:13Z","","FX","","N","false","2025-03-02T19:19:13Z","2025-02-28","2025-03-21","","FALSE","BTBS","false","false","false","49,000,000","559,874","INR","USD","","","","","","","","","","","","","","","","","","","","","87.52","USD/INR","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","false","","","","","","","","","QZQDJSBGDWPG","NA/Fwd NDF INR USD","INR USD"
"1403279200","","NEWT","TRAD","2025-03-02T19:18:47Z","","FX","","N","false","2025-03-02T19:18:47Z","2025-02-28","2025-03-21","","FALSE","BTBS","false","false","false","11,000,000","125,685","INR","USD","","","","","","","","","","","","","","","","","","","","","87.52","USD/INR","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","false","","","","","","","","","QZQDJSBGDWPG","NA/Fwd NDF INR USD","INR USD"
