"Dissemination Identifier","Original Dissemination Identifier","Action type","Event type","Event timestamp","Amendment indicator","Asset Class","Product name","Cleared","Mandatory clearing indicator","Execution Timestamp","Effective Date","Expiration Date","Maturity date of the underlier","Non-standardized term indicator","Platform identifier","Prime brokerage transaction indicator","Block trade election indicator","Large notional off-facility swap election indicator","Notional amount-Leg 1","Notional amount-Leg 2","Notional currency-Leg 1","Notional currency-Leg 2","Notional quantity-Leg 1","Notional quantity-Leg 2","Total notional quantity-Leg 1","Total notional quantity-Leg 2","Quantity frequency multiplier-Leg 1","Quantity frequency multiplier-Leg 2","Quantity unit of measure-Leg 1","Quantity unit of measure-Leg 2","Quantity frequency-Leg 1","Quantity frequency-Leg 2","Notional amount in effect on associated effective date-Leg 1","Notional amount in effect on associated effective date-Leg 2","Effective date of the notional amount-Leg 1","Effective date of the notional amount-Leg 2","End date of the notional amount-Leg 1","End date of the notional amount-Leg 2","Call amount","Call currency","Put amount","Put currency","Exchange rate","Exchange rate basis","First exercise date","Fixed rate-Leg 1","Fixed rate-Leg 2","Option Premium Amount","Option Premium Currency","Price","Price unit of measure","Spread-Leg 1","Spread-Leg 2","Spread currency-Leg 1","Spread currency-Leg 2","Strike Price","Strike price currency/currency pair","Post-priced swap indicator","Price currency","Price notation","Spread notation-Leg 1","Spread notation-Leg 2","Strike price notation","Fixed rate day count convention-leg 1","Fixed rate day count convention-leg 2","Floating rate day count convention-leg 1","Floating rate day count convention-leg 2","Floating rate reset frequency period-leg 1","Floating rate reset frequency period-leg 2","Floating rate reset frequency period multiplier-leg 1","Floating rate reset frequency period multiplier-leg 2","Other payment amount","Fixed rate payment frequency period-Leg 1","Floating rate payment frequency period-Leg 1","Fixed rate payment frequency period-Leg 2","Floating rate payment frequency period-Leg 2","Fixed rate payment frequency period multiplier-Leg 1","Floating rate payment frequency period multiplier-Leg 1","Fixed rate payment frequency period multiplier-Leg 2","Floating rate payment frequency period multiplier-Leg 2","Other payment type","Other payment currency","Settlement currency-Leg 1","Settlement currency-Leg 2","Settlement location","Collateralisation category","Custom basket indicator","Index factor","Underlier ID-Leg 1","Underlier ID-Leg 2","Underlier ID source-Leg 1","Underlying Asset Name","Underlying asset subtype or underlying contract subtype-Leg 1","Underlying asset subtype or underlying contract subtype-Leg 2","Embedded Option type","Option Type","Option Style","Package indicator","Package transaction price","Package transaction price currency","Package transaction price notation","Package transaction spread","Package transaction spread currency","Package transaction spread notation","Physical delivery location-Leg 1","Delivery Type","Unique Product Identifier","UPI FISN","UPI Underlier Name"
"4525873450000001501","4518369919000000501","TERM","ETRM","2026-07-31T19:22:07Z","","FX","","I","FALSE","2026-07-31T19:12:23Z","2026-07-31","2026-09-16","","","BILT","TRUE","FALSE","FALSE","160,000,000","110,868","KRW","USD","","","","","","","","","","","","","","","","","","","","","1,443.16","USD/KRW","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZKL3MJ7CZC6","NA/Fwd NDF KRW USD","KRW USD"
"4516641902000000101","1883676865000005601","TERM","ETRM","2026-07-31T16:36:21Z","","FX","","N","FALSE","2025-10-30T16:08:21Z","2025-10-30","2026-08-04","","FALSE","XXXX","FALSE","FALSE","TRUE","5","5","VND","USD","","","","","","","","","","","","","","","","","","","","","0.00004","VND/USD","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZJCRT2KZZ36","NA/Fwd NDF USD VND","USD VND"
"4520503469000001201","4512936433000000201","TERM","NOVA","2026-07-31T12:17:17Z","","FX","","N","FALSE","2026-07-31T12:17:17Z","2026-07-31","2026-09-04","","FALSE","BILT","TRUE","FALSE","FALSE","198,804","3,600,000,000","USD","IDR","","","","","","","","","","","","","","","","","","","","","18,108.35","USD/IDR","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZQR57LHTLB2","NA/Fwd NDF IDR USD","IDR USD"
"4520503469000001601","4514212475000000101","TERM","NOVA","2026-07-31T13:49:19Z","","FX","","N","FALSE","2026-07-31T13:49:19Z","2026-07-31","2026-09-04","","FALSE","BILT","TRUE","FALSE","FALSE","500,000","16,115,950","USD","TWD","","","","","","","","","","","","","","","","","","","","","32.2319","USD/TWD","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZ8JX8T18XCQ","NA/Fwd NDF TWD USD","TWD USD"
"4520503469000000401","4504160709000000101","TERM","NOVA","2026-07-31T08:16:57Z","","FX","","N","FALSE","2026-07-31T08:16:57Z","2026-07-31","2026-09-04","","FALSE","BILT","TRUE","FALSE","FALSE","979,490","1,400,000,000","USD","KRW","","","","","","","","","","","","","","","","","","","","","1,429.32","USD/KRW","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZKL3MJ7CZC6","NA/Fwd NDF KRW USD","KRW USD"
"4520503469000001901","4514574447000000101","TERM","NOVA","2026-07-31T14:25:08Z","","FX","","N","FALSE","2026-07-31T14:25:08Z","2026-07-31","2026-09-04","","FALSE","BILT","TRUE","FALSE","FALSE","1,023,110","950,000,000","USD","CLP","","","","","","","","","","","","","","","","","","","","","928.54","USD/CLP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZ00VD18Q4T6","NA/Fwd NDF CLP USD","CLP USD"
"4520503469000001401","4513053930000000101","TERM","NOVA","2026-07-31T12:24:21Z","","FX","","N","FALSE","2026-07-31T12:24:21Z","2026-07-31","2026-09-04","","FALSE","BILT","TRUE","FALSE","FALSE","198,764","3,600,000,000","USD","IDR","","","","","","","","","","","","","","","","","","","","","18,111.85","USD/IDR","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZQR57LHTLB2","NA/Fwd NDF IDR USD","IDR USD"
"4520503452000000701","4518076079000000601","CORR","","2026-07-31T18:55:11Z","","FX","","N","FALSE","2026-07-31T18:54:13Z","2026-07-31","2028-03-31","","FALSE","XXXX","FALSE","FALSE","FALSE","240,000","319,560","GBP","USD","","","","","","","","","","","","","","","","","","","","","1.3315","GBP/USD","2026-07-31","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZPK2M4LKLJR","NA/Fwd GBP USD","GBP USD"
"4520532171000001201","4518286705000000201","TERM","EXER","2026-07-31T19:00:58Z","","FX","","N","FALSE","2026-07-31T19:00:45Z","2026-07-31","2026-08-10","","FALSE","RTSP","FALSE","FALSE","FALSE","560,202","83,000","CNY","USD","","","","","","","","","","","","","","","","","","","","","6.749394","USD/CNY","2026-07-31","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","TRUE","","","","-32","USD","4","","","QZS6L0NCS1FG","NA/Swaps CNY USD","CNY USD"
"4520503452000000601","4518076079000000501","CORR","","2026-07-31T18:55:11Z","","FX","","N","FALSE","2026-07-31T18:53:09Z","2026-07-31","2027-11-30","","FALSE","XXXX","FALSE","FALSE","FALSE","490,000","652,924","GBP","USD","","","","","","","","","","","","","","","","","","","","","1.3325","GBP/USD","2026-07-31","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZPK2M4LKLJR","NA/Fwd GBP USD","GBP USD"
