"Dissemination Identifier","Original Dissemination Identifier","Action type","Event type","Event timestamp","Amendment indicator","Asset Class","Product name","Cleared","Mandatory clearing indicator","Execution Timestamp","Effective Date","Expiration Date","Maturity date of the underlier","Non-standardized term indicator","Platform identifier","Prime brokerage transaction indicator","Block trade election indicator","Large notional off-facility swap election indicator","Notional amount-Leg 1","Notional amount-Leg 2","Notional currency-Leg 1","Notional currency-Leg 2","Notional quantity-Leg 1","Notional quantity-Leg 2","Total notional quantity-Leg 1","Total notional quantity-Leg 2","Quantity frequency multiplier-Leg 1","Quantity frequency multiplier-Leg 2","Quantity unit of measure-Leg 1","Quantity unit of measure-Leg 2","Quantity frequency-Leg 1","Quantity frequency-Leg 2","Notional amount in effect on associated effective date-Leg 1","Notional amount in effect on associated effective date-Leg 2","Effective date of the notional amount-Leg 1","Effective date of the notional amount-Leg 2","End date of the notional amount-Leg 1","End date of the notional amount-Leg 2","Call amount","Call currency","Put amount","Put currency","Exchange rate","Exchange rate basis","First exercise date","Fixed rate-Leg 1","Fixed rate-Leg 2","Option Premium Amount","Option Premium Currency","Price","Price unit of measure","Spread-Leg 1","Spread-Leg 2","Spread currency-Leg 1","Spread currency-Leg 2","Strike Price","Strike price currency/currency pair","Post-priced swap indicator","Price currency","Price notation","Spread notation-Leg 1","Spread notation-Leg 2","Strike price notation","Fixed rate day count convention-leg 1","Fixed rate day count convention-leg 2","Floating rate day count convention-leg 1","Floating rate day count convention-leg 2","Floating rate reset frequency period-leg 1","Floating rate reset frequency period-leg 2","Floating rate reset frequency period multiplier-leg 1","Floating rate reset frequency period multiplier-leg 2","Other payment amount","Fixed rate payment frequency period-Leg 1","Floating rate payment frequency period-Leg 1","Fixed rate payment frequency period-Leg 2","Floating rate payment frequency period-Leg 2","Fixed rate payment frequency period multiplier-Leg 1","Floating rate payment frequency period multiplier-Leg 1","Fixed rate payment frequency period multiplier-Leg 2","Floating rate payment frequency period multiplier-Leg 2","Other payment type","Other payment currency","Settlement currency-Leg 1","Settlement currency-Leg 2","Settlement location","Collateralisation category","Custom basket indicator","Index factor","Underlier ID-Leg 1","Underlier ID-Leg 2","Underlier ID source-Leg 1","Underlying Asset Name","Underlying asset subtype or underlying contract subtype-Leg 1","Underlying asset subtype or underlying contract subtype-Leg 2","Embedded Option type","Option Type","Option Style","Package indicator","Package transaction price","Package transaction price currency","Package transaction price notation","Package transaction spread","Package transaction spread currency","Package transaction spread notation","Physical delivery location-Leg 1","Delivery Type","Unique Product Identifier","UPI FISN","UPI Underlier Name"
"3299611811000000701","","NEWT","TRAD","2026-05-24T23:23:12Z","","IR","","I","FALSE","2026-05-24T23:23:12Z","2026-09-10","2031-09-11","","","TWSF","FALSE","FALSE","","2,000,000","2,000,000","AUD","AUD","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","6","17184.44234","MNTH","","","MNTH","6","","","6","UFRO","AUD","AUD","","","","false","","","","","","","","","","","TRUE","-4,000","AUD","1","","","","","","QZNXC32WWW1N","NA/Swap Fxd Flt AUD","AUD-BBR-BBSW"
"3293492337000000301","959687598","CORR","","2026-05-24T09:36:36Z","","IR","","N","FALSE","2024-04-10T19:35:25Z","2024-04-12","2028-04-12","","FALSE","BILT","FALSE","FALSE","TRUE","340,000","12,638,823,218","CLF","CLP","","","","","","","","","","","","","","","","","","","","","","","","0.02255","","","","","","","","","","","","false","","","","","","A004","","","A004","","DAIL","","1","13840638.70331;248221.34891","MNTH","","","MNTH","6","","","6","PEXH;PEXH","USD;USD","USD","USD","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZMSVXDXD0F6","NA/Swap Fxd Flt CLF CLP","CLP-TNA"
"3293492286000000101","3136034058000001001","TERM","ETRM","2026-05-12T08:31:34Z","","IR","","I","TRUE","2026-05-12T08:13:30Z","2026-06-10","2028-03-15","","FALSE","XOFF","FALSE","FALSE","FALSE","320,000,000","320,000,000","EUR","EUR","","","","","","","","","","","","","","","","","","","","","","","","","0.0263556","","","","","0","","EUR","","","","false","","","3","","","","A004","A004","","YEAR","","1","","","","YEAR","YEAR","","","1","1","","","","EUR","EUR","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZMQ7FVR9T7X","NA/Swap OIS EUR","EUR-EuroSTR-COMPOUND"
"3293490356000000201","208722223","CORR","","2026-05-24T11:21:58Z","","IR","","N","FALSE","2021-07-13T08:31:01Z","2021-07-15","2029-07-16","","FALSE","TPSE","FALSE","FALSE","FALSE","36,302,170","43,000,000","EUR","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.000825","","","","","","false","","","3","","","","","A004","A004","","MNTH","","3","36302170.00000;42999920.36500","","MNTH","","MNTH","","3","","3","PEXH;PEXH","EUR;USD","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZNL1PBFNR26","NA/Swap Flt Flt EUR USD","EUR-EURIBOR-Reuters vs USD-LIBOR"
"3293490330000000201","206463142","CORR","","2026-05-24T11:21:23Z","","IR","","N","FALSE","2021-06-29T12:22:21Z","2021-07-01","2033-07-01","","FALSE","TPSE","FALSE","FALSE","FALSE","37,846,875","45,000,000","EUR","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0010875","","","","","","false","","","3","","","","","A004","A004","","MNTH","","3","37846875.00000;44999934.37500","","MNTH","","MNTH","","3","","3","PEXH;PEXH","EUR;USD","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZNL1PBFNR26","NA/Swap Flt Flt EUR USD","EUR-EURIBOR-Reuters vs USD-LIBOR"
"3299613392000000401","","NEWT","TRAD","2026-05-24T23:54:57Z","","IR","","I","FALSE","2026-05-24T23:54:57Z","2026-06-10","2028-06-14","","","TWSF","FALSE","FALSE","","2,000,000","2,000,000","NZD","NZD","","","","","","","","","","","","","","","","","","","","","","","","0.04","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","3","16636.60012","MNTH","","","MNTH","6","","","3","UFRO","NZD","NZD","","","","false","","","","","","","","","","","TRUE","192,822","NZD","1","","","","","","QZBT7MDTPZNK","NA/Swap Fxd Flt NZD","NZD-BBR-FRA"
"3299613238000000101","","NEWT","TRAD","2026-05-24T23:53:11Z","","IR","","I","FALSE","2026-05-24T23:53:11Z","2026-09-10","2036-09-11","","","TWSF","FALSE","FALSE","","2,000,000","2,000,000","AUD","AUD","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","6","363.75000","MNTH","","","MNTH","6","","","6","UFRO","AUD","AUD","","","","false","","","","","","","","","","","TRUE","9,611","AUD","1","","","","","","QZNXC32WWW1N","NA/Swap Fxd Flt AUD","AUD-BBR-BBSW"
"3299612976000000401","","NEWT","TRAD","2026-05-24T23:50:22Z","","IR","","I","FALSE","2026-05-24T23:50:22Z","2026-06-11","2028-06-08","","","TWSF","FALSE","FALSE","","9,000,000","9,000,000","AUD","AUD","","","","","","","","","","","","","","","","","","","","","","","","0.045","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","3","14052.65904","MNTH","","","MNTH","3","","","3","UFRO","AUD","AUD","","","","false","","","","","","","","","","","TRUE","13,865","AUD","1","","","","","","QZ921SM6H5P8","NA/Swap Fxd Flt AUD","AUD-BBR-BBSW"
"3299611933000000301","","NEWT","TRAD","2026-05-24T23:26:52Z","","IR","","I","FALSE","2026-05-24T23:26:52Z","2026-09-10","2031-09-11","","","TWSF","FALSE","FALSE","","5,000,000","5,000,000","AUD","AUD","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","false","","","","","","A005","","","A005","","MNTH","","6","43264.72178","MNTH","","","MNTH","6","","","6","UFRO","AUD","AUD","","","","false","","","","","","","","","","","TRUE","-100,000","AUD","1","","","","","","QZNXC32WWW1N","NA/Swap Fxd Flt AUD","AUD-BBR-BBSW"
"3299612125000000101","3298795644000000101","MODI","TRAD","2026-05-24T22:21:27Z","FALSE","IR","","I","FALSE","2026-05-24T22:21:27Z","2026-05-28","2026-07-09","","FALSE","BGCD","FALSE","FALSE","","1,300,000,000","1,300,000,000","NZD","NZD","","","","","","","","","","","","","","","","","","","","","","","","0.022875","","","","","","","0","","","","","false","","","","3","","A005","","","A005","","EXPI","","1","","EXPI","","","EXPI","1","","","1","","","","","","","false","","","","","","","","","","","FALSE","","","","","","","","","QZJVCBTFQX96","NA/Swap OIS NZD","NZD-NZIONA-OIS Compound"
